position,team,played,won,draw,lost,points,goals_for,goals_against,goal_difference,form,competition,competition_code
1,Arsenal FC,8,6,1,1,19,15,3,12,,Premier League,PL
2,Manchester City FC,8,5,1,2,16,17,6,11,,Premier League,PL
3,AFC Bournemouth,8,4,3,1,15,14,11,3,,Premier League,PL
3,Liverpool FC,8,5,0,3,15,14,11,3,,Premier League,PL
5,Chelsea FC,8,4,2,2,14,16,9,7,,Premier League,PL
6,Tottenham Hotspur FC,8,4,2,2,14,14,7,7,,Premier League,PL
7,Sunderland AFC,8,4,2,2,14,9,6,3,,Premier League,PL
8,Crystal Palace FC,8,3,4,1,13,12,8,4,,Premier League,PL
9,Manchester United FC,8,4,1,3,13,11,12,-1,,Premier League,PL
10,Brighton & Hove Albion FC,8,3,3,2,12,12,11,1,,Premier League,PL
11,Aston Villa FC,8,3,3,2,12,8,8,0,,Premier League,PL
12,Everton FC,8,3,2,3,11,9,9,0,,Premier League,PL
13,Brentford FC,8,3,1,4,10,10,12,-2,,Premier League,PL
14,Newcastle United FC,8,2,3,3,9,7,7,0,,Premier League,PL
15,Fulham FC,8,2,2,4,8,8,12,-4,,Premier League,PL
16,Leeds United FC,8,2,2,4,8,7,13,-6,,Premier League,PL
17,Burnley FC,8,2,1,5,7,9,15,-6,,Premier League,PL
18,Nottingham Forest FC,8,1,2,5,5,5,15,-10,,Premier League,PL
19,West Ham United FC,8,1,1,6,4,6,17,-11,,Premier League,PL
20,Wolverhampton Wanderers FC,8,0,2,6,2,5,16,-11,,Premier League,PL
