fecha,liga,home_team,away_team,home_goals,away_goals,resultado_real,prob_home,prob_draw,prob_away,prediccion,acierto,xG_home_pred,xG_away_pred
2025-10-05,F1,Strasbourg,Angers,5,0,H,0.7327872479200856,0.1704514326308405,0.09676131944907385,H,True,2.213762925216429,0.8443715471475806
2025-10-05,D1,Hamburg,Mainz,4,0,H,0.37332500516325395,0.27331752126869435,0.35335747356805175,H,True,1.397898630724201,1.3237003802753473
2025-10-05,F1,Monaco,Nice,2,2,D,0.465821729882048,0.26369827140083546,0.27047999871711653,H,False,1.615745133783792,1.14888995023785
2025-10-05,F1,Le Havre,Rennes,2,2,D,0.278361729353265,0.2589920363384062,0.46264623430832885,A,False,1.2673879889280522,1.456860134295139
2025-10-05,F1,Lyon,Toulouse,1,2,A,0.6615964036259194,0.20333716796356513,0.1350664284105155,H,False,2.0148375713562636,0.925813781482789
2025-10-05,SP1,Sociedad,Vallecano,0,1,A,0.28775242909198306,0.260053239922865,0.45219433098515177,A,True,1.288638407716777,1.4333607158188295
2025-10-05,E0,Brentford,Man City,0,1,A,0.2032162195428007,0.2289551846822649,0.5678285957749345,A,True,1.161056930362372,1.5872136179961338
2025-10-05,E0,Wolves,Brighton,1,1,D,0.13117822005604343,0.19462377897148567,0.674198000972471,A,False,0.9819221042103325,1.8698564167057017
2025-10-05,E0,Newcastle,Nott'm Forest,2,0,H,0.4845168194167976,0.2555523709454432,0.25993080963775944,H,True,1.58835982779457,1.1682581208504055
2025-10-05,D1,Stuttgart,Heidenheim,1,0,H,0.747710397674814,0.16675862293710172,0.08553097938808434,H,True,2.160079874426,0.864888200713295
2025-10-05,E0,Everton,Crystal Palace,2,1,H,0.31344885377017767,0.2589899065076926,0.42756123972212984,A,False,1.2391099228918683,1.4893668318968898
2025-10-05,I1,Udinese,Cagliari,1,1,D,0.4586474282534114,0.25920201407585763,0.2821505576707309,H,False,1.5263598605759343,1.2146460581601801
2025-10-05,I1,Bologna,Pisa,4,0,H,0.5841026432018392,0.22806360522899072,0.18783375156917004,H,True,1.79138850945397,1.038601692401635
2025-10-05,I1,Fiorentina,Roma,1,2,A,0.1738335774976703,0.22043064725945727,0.6057357752428725,A,True,1.093701132243834,1.6827450807243884
2025-10-05,I1,Napoli,Genoa,2,1,H,0.8813213887083118,0.10257766766997953,0.016100943621708764,H,True,2.7401653976170723,0.6853766943625945
2025-10-05,I1,Juventus,Milan,0,0,D,0.4983155504950728,0.2531894141836173,0.24849503532130982,H,False,1.6221589012197681,1.144447314776485
2025-10-05,F1,Lille,Paris SG,1,1,D,0.14641626724926624,0.20155222614493112,0.6520315066058026,A,False,1.016968903162668,1.8068130693839446
2025-10-05,D1,M'gladbach,Freiburg,0,0,D,0.18727996108794395,0.22466817359565786,0.5880518653163981,A,False,1.1246158934918364,1.6374932391400812
2025-10-05,E0,Aston Villa,Burnley,2,1,H,0.5617392040941245,0.2403137841965534,0.19794701170932197,H,True,1.868638000422468,0.9965925740160059
2025-10-05,SP1,Celta,Ath Madrid,1,1,D,0.15265369769838352,0.20413671866440103,0.6432095836372156,A,False,1.0311717845970096,1.7824715118521417
